Method,Number of Edits,Part,Pre Rewrite Acc,Post Rewrite Acc,Output Path
ROME,1,part_0,0.3333333333333333,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_1/part_0
ROME,1,part_1,0.3333333333333333,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_1/part_1
ROME,1,part_2,0.625,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_1/part_2
ROME,10,part_0,0.31285714285714283,0.9888888888888889,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_10/part_0
ROME,10,part_1,0.4216666666666666,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_10/part_1
ROME,10,part_2,0.4875000000000001,0.9550000000000001,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_10/part_2
ROME,25,part_0,0.38228571428571423,0.9093174603174603,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_25/part_0
ROME,25,part_1,0.36457142857142855,0.9222857142857143,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_25/part_1
ROME,25,part_2,0.3925555555555556,0.9253333333333333,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_25/part_2
ROME,50,part_0,0.34573809523809523,0.6866349206349206,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_50/part_0
ROME,50,part_1,0.3588611111111111,0.6404444444444444,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_50/part_1
ROME,50,part_2,0.3601587301587301,0.508968253968254,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_50/part_2
ROME,60,part_0,0.34644841269841264,0.6484523809523809,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_60/part_0
ROME,60,part_1,0.35923611111111114,0.4696395502645503,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_60/part_1
ROME,60,part_2,0.3559656084656085,0.5507142857142857,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_60/part_2
ROME,70,part_0,0.3586224489795918,0.4807766439909297,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_70/part_0
ROME,70,part_1,0.359345238095238,0.43580498866213147,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_70/part_1
ROME,70,part_2,0.3771371882086168,0.49261337868480726,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_70/part_2
ROME,80,part_0,0.35879464285714285,0.38654761904761903,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_80/part_0
ROME,80,part_1,0.3574032738095238,0.32607390873015873,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_80/part_1
ROME,80,part_2,0.3849950396825397,0.3143402777777778,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_80/part_2
ROME,90,part_0,0.34503968253968254,0.34331569664903,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_90/part_0
ROME,90,part_1,0.3682473544973546,0.3247685185185185,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_90/part_1
ROME,90,part_2,0.3766005291005291,0.28046296296296297,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_90/part_2
ROME,100,part_0,0.3390357142857143,0.22218253968253973,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_100/part_0
ROME,100,part_1,0.3817559523809525,0.2231111111111111,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_100/part_1
ROME,100,part_2,0.3870515873015873,0.26325,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/ROME/test_and_eval_100/part_2
MEMIT,1,part_0,0.3333333333333333,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_1/part_0
MEMIT,1,part_1,0.3333333333333333,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_1/part_1
MEMIT,1,part_2,0.625,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_1/part_2
MEMIT,10,part_0,0.31285714285714283,0.9777777777777779,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_10/part_0
MEMIT,10,part_1,0.4216666666666666,1.0,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_10/part_1
MEMIT,10,part_2,0.4875000000000001,0.9800000000000001,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_10/part_2
MEMIT,25,part_0,0.38228571428571423,0.9451746031746032,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_25/part_0
MEMIT,25,part_1,0.36457142857142855,0.992,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_25/part_1
MEMIT,25,part_2,0.3925555555555556,0.922,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_25/part_2
MEMIT,50,part_0,0.34573809523809523,0.8816587301587302,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_50/part_0
MEMIT,50,part_1,0.3588611111111111,0.9036349206349206,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_50/part_1
MEMIT,50,part_2,0.3601587301587301,0.8393333333333333,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_50/part_2
MEMIT,60,part_0,0.34644841269841264,0.871435185185185,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_60/part_0
MEMIT,60,part_1,0.35923611111111114,0.8773148148148148,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_60/part_1
MEMIT,60,part_2,0.3559656084656085,0.8122222222222223,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_60/part_2
MEMIT,70,part_0,0.3586224489795918,0.7032936507936507,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_70/part_0
MEMIT,70,part_1,0.359345238095238,0.8361252834467119,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_70/part_1
MEMIT,70,part_2,0.3771371882086168,0.7981349206349205,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_70/part_2
MEMIT,80,part_0,0.35879464285714285,0.5984325396825396,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_80/part_0
MEMIT,80,part_1,0.3574032738095238,0.7601041666666666,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_80/part_1
MEMIT,80,part_2,0.3849950396825397,0.6770585317460317,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_80/part_2
MEMIT,90,part_0,0.34503968253968254,0.527200176366843,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_90/part_0
MEMIT,90,part_1,0.3682473544973546,0.6815343915343915,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_90/part_1
MEMIT,90,part_2,0.3766005291005291,0.6365873015873016,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_90/part_2
MEMIT,100,part_0,0.3390357142857143,0.3153214285714286,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_100/part_0
MEMIT,100,part_1,0.3817559523809525,0.5976726190476189,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_100/part_1
MEMIT,100,part_2,0.3870515873015873,0.6518174603174604,/home/k/kduan/szn_workspace/SafetyEvaluation_AfterEdit/safety_evaluate/llama/MEMIT/test_and_eval_100/part_2
